ACCURACY,BATCH_SIZE,EPOCHS,LEARNING_RATE,MU,SIGMA
0.9795980822197287,16,20,0.0002,0,0.01
0,0.9672549217984978,256,10,0.0005,0,0.01
0,0.3105171886218101,16,10,0.0001,0,1
0,0.9792920534530246,64,15,0.0002,0,0.01
0,0.9600122411506682,32,10,0.0005,0,0.03
0,0.058655513623220315,128,15,0.0003,0,0.3
0,0.9640926247067224,32,15,0.0005,0,0.03
0,0.9472610425379986,32,10,0.0001,0,0.03
0,0.9669488931959604,32,15,0.0004,0,0.01
0,0.9620524329286952,32,20,0.0005,0,0.03
0,0.18677955738478846,256,10,0.0001,0,0.1
0,0.9596042027950628,16,15,0.0005,0,0.01
0,0.9661328164847496,16,15,0.0005,0,0.01
0,0.206773436725851,256,20,0.0003,0,1
0,0.05579924512904213,16,15,0.0004,0,0.3
0,0.9654187492955574,128,10,0.0003,0,0.03
0,0.056207283484647555,32,20,0.0001,0,0.3
0,0.05590125471794349,32,20,0.0004,0,0.3
0,0.05783943691200946,128,20,0.0004,0,0.3
0,0.6461287359917491,128,20,0.0004,0,0.1
0,0.9685810466183822,64,20,0.0005,0,0.03
0,0.5197388555010545,256,15,0.0002,0,0.3
0,0.9655207589513414,16,20,0.0005,0,0.03
0,0.3421401611538696,128,15,0.0002,0,0.1
0,0.05579924512904213,32,15,0.0003,0,0.3
0,0.056105273895746204,32,10,0.0002,0,0.3
0,0.9563398960779045,256,15,0.0002,0,0.03
0,0.9693971235241609,128,20,0.0003,0,0.01
0,0.9650107110068347,32,15,0.0002,0,0.01
0,0.8453534632255432,32,20,0.0005,0,0.1
0,0.36346016516737045,128,20,0.0002,0,0.1
0,0.961644394603491,128,15,0.0003,0,0.01
0,0.9446087933542484,256,10,0.0003,0,0.01
